"Temps","Destinació principal","País de residència",Mètriques,Valors,estatus,Dada provisional,
"02/2019","Catalunya","Països nòrdics","Turistes (milers)","26","",""
"02/2019","Catalunya","Portugal","Turistes (milers)","13.5","",""
"02/2019","Catalunya","Regne Unit","Turistes (milers)","93.6","",""
"02/2019","Catalunya","Rússia","Turistes (milers)","28.3","",""
"02/2019","Catalunya","Suïssa","Turistes (milers)","22.1","",""
"02/2019","Catalunya","Resta d'Europa","Turistes (milers)","158.4","",""
"02/2019","Catalunya","Estats Units","Turistes (milers)","58","",""
"02/2019","Catalunya","Resta d'Amèrica","Turistes (milers)","80.1","",""
"02/2019","Catalunya","Resta del món","Turistes (milers)","143.7","",""
"02/2019","Catalunya","Total","Turistes (milers)","1030.3","",""
"01/2019","Catalunya","Alemanya","Turistes (milers)","54.2","",""
"01/2019","Catalunya","Bèlgica","Turistes (milers)","18.4","",""
"01/2019","Catalunya","França","Turistes (milers)","176.1","",""
"01/2019","Catalunya","Irlanda","Turistes (milers)","10.4","",""
"01/2019","Catalunya","Itàlia","Turistes (milers)","64.1","",""
"01/2019","Catalunya","Països Baixos","Turistes (milers)","17.5","",""
"01/2019","Catalunya","Països nòrdics","Turistes (milers)","20.9","",""
"01/2019","Catalunya","Portugal","Turistes (milers)","11.6","(*)",""
"01/2019","Catalunya","Regne Unit","Turistes (milers)","79.9","",""
"01/2019","Catalunya","Rússia","Turistes (milers)","40.1","",""
"01/2019","Catalunya","Suïssa","Turistes (milers)","16","",""
"01/2019","Catalunya","Resta d'Europa","Turistes (milers)","120.5","",""
"01/2019","Catalunya","Estats Units","Turistes (milers)","57.1","",""
"01/2019","Catalunya","Resta d'Amèrica","Turistes (milers)","66.2","",""
"01/2019","Catalunya","Resta del món","Turistes (milers)","157.3","",""
"01/2019","Catalunya","Total","Turistes (milers)","910.3","",""
"12/2018","Catalunya","Alemanya","Turistes (milers)","58.6","",""
"12/2018","Catalunya","Bèlgica","Turistes (milers)","14.5","",""
"12/2018","Catalunya","França","Turistes (milers)","202.4","",""
"12/2018","Catalunya","Irlanda","Turistes (milers)","11.5","",""
"12/2018","Catalunya","Itàlia","Turistes (milers)","98.5","",""
"12/2018","Catalunya","Països Baixos","Turistes (milers)","21.8","",""
"12/2018","Catalunya","Països nòrdics","Turistes (milers)","22.6","",""
"12/2018","Catalunya","Portugal","Turistes (milers)","7.4","(*)",""
"12/2018","Catalunya","Regne Unit","Turistes (milers)","91.4","",""
"12/2018","Catalunya","Rússia","Turistes (milers)","25","",""
"12/2018","Catalunya","Suïssa","Turistes (milers)","14.6","",""
"12/2018","Catalunya","Resta d'Europa","Turistes (milers)","117.5","",""
"12/2018","Catalunya","Estats Units","Turistes (milers)","61","",""
"12/2018","Catalunya","Resta d'Amèrica","Turistes (milers)","54.6","",""
"12/2018","Catalunya","Resta del món","Turistes (milers)","167.7","",""
"12/2018","Catalunya","Total","Turistes (milers)","969.3","",""
"11/2018","Catalunya","Alemanya","Turistes (milers)","70.1","",""
"11/2018","Catalunya","Bèlgica","Turistes (milers)","23.8","",""
"11/2018","Catalunya","França","Turistes (milers)","195.4","",""
"11/2018","Catalunya","Irlanda","Turistes (milers)","9","",""
"11/2018","Catalunya","Itàlia","Turistes (milers)","73.8","",""
"11/2018","Catalunya","Països Baixos","Turistes (milers)","26.4","",""
"11/2018","Catalunya","Països nòrdics","Turistes (milers)","32.7","",""
"11/2018","Catalunya","Portugal","Turistes (milers)","9.1","",""
"11/2018","Catalunya","Regne Unit","Turistes (milers)","91.6","",""
"11/2018","Catalunya","Rússia","Turistes (milers)","27.1","",""
"11/2018","Catalunya","Suïssa","Turistes (milers)","22.8","",""
"11/2018","Catalunya","Resta d'Europa","Turistes (milers)","124.2","",""
"11/2018","Catalunya","Estats Units","Turistes (milers)","80.1","",""
"11/2018","Catalunya","Resta d'Amèrica","Turistes (milers)","63.4","",""
"11/2018","Catalunya","Resta del món","Turistes (milers)","185.1","",""
"11/2018","Catalunya","Total","Turistes (milers)","1034.6","",""
"10/2018","Catalunya","Alemanya","Turistes (milers)","129.8","",""
"10/2018","Catalunya","Bèlgica","Turistes (milers)","21.9","",""
"10/2018","Catalunya","França","Turistes (milers)","316.2","",""
"10/2018","Catalunya","Irlanda","Turistes (milers)","28.7","",""
"10/2018","Catalunya","Itàlia","Turistes (milers)","88.4","",""
"10/2018","Catalunya","Països Baixos","Turistes (milers)","68.7","",""
"10/2018","Catalunya","Països nòrdics","Turistes (milers)","75.6","",""
"10/2018","Catalunya","Portugal","Turistes (milers)","8.8","(*)",""
"10/2018","Catalunya","Regne Unit","Turistes (milers)","187.2","",""
"10/2018","Catalunya","Rússia","Turistes (milers)","48.5","",""
"10/2018","Catalunya","Suïssa","Turistes (milers)","11.8","",""
"10/2018","Catalunya","Resta d'Europa","Turistes (milers)","217.7","",""
"10/2018","Catalunya","Estats Units","Turistes (milers)","153.9","",""
"10/2018","Catalunya","Resta d'Amèrica","Turistes (milers)","93.9","",""
"10/2018","Catalunya","Resta del món","Turistes (milers)","214","",""
"10/2018","Catalunya","Total","Turistes (milers)","1665.2","",""
"09/2018","Catalunya","Alemanya","Turistes (milers)","162.1","",""
"09/2018","Catalunya","Bèlgica","Turistes (milers)","41.9","",""
"09/2018","Catalunya","França","Turistes (milers)","346.6","",""
"09/2018","Catalunya","Irlanda","Turistes (milers)","33.1","",""
"09/2018","Catalunya","Itàlia","Turistes (milers)","116","",""
"09/2018","Catalunya","Països Baixos","Turistes (milers)","67.5","",""
"09/2018","Catalunya","Països nòrdics","Turistes (milers)","55.2","",""
"09/2018","Catalunya","Portugal","Turistes (milers)","34.2","",""
"09/2018","Catalunya","Regne Unit","Turistes (milers)","260","",""
"09/2018","Catalunya","Rússia","Turistes (milers)","109.9","",""
"09/2018","Catalunya","Suïssa","Turistes (milers)","21.7","",""
"09/2018","Catalunya","Resta d'Europa","Turistes (milers)","261.4","",""
"09/2018","Catalunya","Estats Units","Turistes (milers)","132.7","",""
"09/2018","Catalunya","Resta d'Amèrica","Turistes (milers)","125.1","",""
"09/2018","Catalunya","Resta del món","Turistes (milers)","240.2","",""
"09/2018","Catalunya","Total","Turistes (milers)","2007.5","",""
"08/2018","Catalunya","Alemanya","Turistes (milers)","180.6","",""
"08/2018","Catalunya","Bèlgica","Turistes (milers)","57.3","",""
"08/2018","Catalunya","França","Turistes (milers)","751.5","",""
"08/2018","Catalunya","Irlanda","Turistes (milers)","45.1","",""
"08/2018","Catalunya","Itàlia","Turistes (milers)","158.4","",""
"08/2018","Catalunya","Països Baixos","Turistes (milers)","117.6","",""
"08/2018","Catalunya","Països nòrdics","Turistes (milers)","65.4","",""
"08/2018","Catalunya","Portugal","Turistes (milers)","16.5","",""
"08/2018","Catalunya","Regne Unit","Turistes (milers)","285.9","",""
"08/2018","Catalunya","Rússia","Turistes (milers)","109.3","",""
"08/2018","Catalunya","Suïssa","Turistes (milers)","22.2","",""
"08/2018","Catalunya","Resta d'Europa","Turistes (milers)","244.8","",""
